Seq_number	New_name	Site	Bio_rep	INDO_REGION	Lat_dec	Long_dec	Sample_Control	Control_Type	Site_Viz
AP.1.S4.L001	AP_1	AER_PERANG	A	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
AP.2.S5.L001	AP_2	AER_PERANG	B	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
AP.3.S6.L001	AP_3	AER_PERANG	C	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
POOL.ELAS.0132.4.S57.L001	AP_1	AER_PERANG	A	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
POOL.ELAS.0132.5.S58.L001	AP_2	AER_PERANG	B	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
POOL.ELAS.0132.6.S59.L001	AP_3	AER_PERANG	C	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
bio_12S_AP.1.S4.L001	AP_1	AER_PERANG	A	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
bio_12S_AP.2.S5.L001	AP_2	AER_PERANG	B	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
bio_12S_AP.3.S6.L001	AP_3	AER_PERANG	C	LEMBEH_STRAIT	1.474016667	125.2341	Sample	Sample	AER_PERANG
AG.1.S1.L001	AG_1	Anitas_Garden	A	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
AG.2.S2.L001	AG_2	Anitas_Garden	B	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
AG.3.S3.L001	AG_3	Anitas_Garden	C	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
POOL.ELAS.0132.1.S54.L001	AG_1	Anitas_Garden	A	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
POOL.ELAS.0132.2.S55.L001	AG_2	Anitas_Garden	B	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
POOL.ELAS.0132.3.S56.L001	AG_3	Anitas_Garden	C	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
bio_12S_AG.1.S1.L001	AG_1	Anitas_Garden	A	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
bio_12S_AG.2.S2.L001	AG_2	Anitas_Garden	B	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
bio_12S_AG.3.S3.L001	AG_3	Anitas_Garden	C	RAJA_AMPAT	-0.543466667	130.250633	Sample	Sample	Anitas_Garden
BA.1.S7.L001	BA_1	BATU_ANGUS	A	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
BA.2.S8.L001	BA_2	BATU_ANGUS	B	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
BA.3.S9.L001	BA_3	BATU_ANGUS	C	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
POOL.ELAS.0132.7.S60.L001	BA_1	BATU_ANGUS	A	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
POOL.ELAS.0132.8.S61.L001	BA_2	BATU_ANGUS	B	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
POOL.ELAS.0132.9.S62.L001	BA_3	BATU_ANGUS	C	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
bio_12S_BA.1.S7.L001	BA_1	BATU_ANGUS	A	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
bio_12S_BA.2.S8.L001	BA_2	BATU_ANGUS	B	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
bio_12S_BA.3.S9.L001	BA_3	BATU_ANGUS	C	LEMBEH_STRAIT	1.5107	125.247667	Sample	Sample	BATU_ANGUS
BM.1.S14.L001	BM_1	BATU_MERAH	A	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
BM.1.star.S123.L001	BM_1_star	BATU_MERAH	D	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
BM.2.S15.L001	BM_2	BATU_MERAH	B	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
BM.3.S16.L001	BM_3	BATU_MERAH	C	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
POOL.ELAS.0132.14.S67.L001	BM_1	BATU_MERAH	A	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
POOL.ELAS.0132.15.S68.L001	BM_2	BATU_MERAH	B	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
POOL.ELAS.0132.16.S69.L001	BM_3	BATU_MERAH	C	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
bio_12S_BM.1.S14.L001	BM_1	BATU_MERAH	A	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
bio_12S_BM.1.star.S122.L001	BM_1_star	BATU_MERAH	D	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
bio_12S_BM.2.S15.L001	BM_2	BATU_MERAH	B	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
bio_12S_BM.3.S16.L001	BM_3	BATU_MERAH	C	LEMBEH_STRAIT	1.4941	125.2615	Sample	Sample	BATU_MERAH
SB.01.1.S66.L001	SB_01_1	BENTENG	A	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
SB.01.2.S67.L001	SB_01_2	BENTENG	B	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
SB.01.3.S68.L001	SB_01_3	BENTENG	C	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
POOL.ELAS.6596.2.S107.L001	SB_01_1	BENTENG	A	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
POOL.ELAS.6596.3.S108.L001	SB_01_2	BENTENG	B	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
POOL.ELAS.6596.4.S109.L001	SB_01_3	BENTENG	C	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
bio_12S_SB.01.1.S65.L001	SB_01_1	BENTENG	A	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
bio_12S_SB.01.2.S66.L001	SB_01_2	BENTENG	B	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
bio_12S_SB.01.3.S67.L001	SB_01_3	BENTENG	C	ACEH	5.846233333	95.3739	Sample	Sample	BENTENG
bio_12S_CD.1.S30.L001	CD_1	CALIFORDIA_DREAMING	A	LEMBEH_STRAIT	1.515966667	125.27455	Sample	Sample	CALIFORDIA_DREAMING
bio_12S_CD.2.S31.L001	CD_2	CALIFORDIA_DREAMING	B	LEMBEH_STRAIT	1.515966667	125.27455	Sample	Sample	CALIFORDIA_DREAMING
bio_12S_CD.3.S32.L001	CD_3	CALIFORDIA_DREAMING	C	LEMBEH_STRAIT	1.515966667	125.27455	Sample	Sample	CALIFORDIA_DREAMING
CD.1.S30.L001	CD_1	CALIFORDIA_DREAMING	A	LEMBEH_STRAIT	1.515966667	125.27455	Sample	Sample	CALIFORDIA_DREAMING
CD.2.S31.L001	CD_2	CALIFORDIA_DREAMING	B	LEMBEH_STRAIT	1.515966667	125.27455	Sample	Sample	CALIFORDIA_DREAMING
CD.3.S32.L001	CD_3	CALIFORDIA_DREAMING	C	LEMBEH_STRAIT	1.515966667	125.27455	Sample	Sample	CALIFORDIA_DREAMING
CK.1.S33.L001	CK_1	CAPE_KRI	A	RAJA_AMPAT	-0.558083333	130.6889	Sample	Sample	CAPE_KRI
CK.2.S34.L001	CK_2	CAPE_KRI	B	RAJA_AMPAT	-0.558083333	130.6889	Sample	Sample	CAPE_KRI
CK.3.S35.L001	CK_3	CAPE_KRI	C	RAJA_AMPAT	-0.558083333	130.6889	Sample	Sample	CAPE_KRI
POOL.ELAS.3364.1.S82.L001	CK_1	CAPE_KRI	A	RAJA_AMPAT	-0.558083333	130.6889	Sample	Sample	CAPE_KRI
POOL.ELAS.3364.2.S83.L001	CK_2	CAPE_KRI	B	RAJA_AMPAT	-0.558083333	130.6889	Sample	Sample	CAPE_KRI
POOL.ELAS.3364.3.S84.L001	CK_3	CAPE_KRI	C	RAJA_AMPAT	-0.558083333	130.6889	Sample	Sample	CAPE_KRI
bio_12S_CK.1.S33.L001	CK_1	CAPE_KRI	A	RAJA_AMPAT	-0.558083333	130.6889	Sample	Sample	CAPE_KRI
bio_12S_CK.2.S34.L001	CK_2	CAPE_KRI	B	RAJA_AMPAT	-0.558083333	130.6889	Sample	Sample	CAPE_KRI
bio_12S_CK.3.S35.L001	CK_3	CAPE_KRI	C	RAJA_AMPAT	-0.558083333	130.6889	Sample	Sample	CAPE_KRI
CC.1.S27.L001	CC_1	CORAL_CANYON	A	DERAWAN	2.2959	118.2608	Sample	Sample	CORAL_CANYON
CC.2.S28.L001	CC_2	CORAL_CANYON	B	DERAWAN	2.2959	118.2608	Sample	Sample	CORAL_CANYON
CC.3.S29.L001	CC_3	CORAL_CANYON	C	DERAWAN	2.2959	118.2608	Sample	Sample	CORAL_CANYON
POOL.ELAS.0132.27.S80.L001	CC_1	CORAL_CANYON	A	DERAWAN	2.2959	118.2608	Sample	Sample	CORAL_CANYON
POOL.ELAS.0132.28.S81.L001	CC_2	CORAL_CANYON	B	DERAWAN	2.2959	118.2608	Sample	Sample	CORAL_CANYON
bio_12S_CC.1.S27.L001	CC_1	CORAL_CANYON	A	DERAWAN	2.2959	118.2608	Sample	Sample	CORAL_CANYON
bio_12S_CC.2.S28.L001	CC_2	CORAL_CANYON	B	DERAWAN	2.2959	118.2608	Sample	Sample	CORAL_CANYON
bio_12S_CC.3.S29.L001	CC_3	CORAL_CANYON	C	DERAWAN	2.2959	118.2608	Sample	Sample	CORAL_CANYON
SB.02.1.S69.L001	SB_02_1	JABOI	A	ACEH	5.816783333	95.345517	Sample	Sample	JABOI
SB.02.2.S70.L001	SB_02_2	JABOI	B	ACEH	5.816783333	95.345517	Sample	Sample	JABOI
SB.02.3.S71.L001	SB_02_3	JABOI	C	ACEH	5.816783333	95.345517	Sample	Sample	JABOI
POOL.ELAS.6596.5.S110.L001	SB_02_1	JABOI	A	ACEH	5.816783333	95.345517	Sample	Sample	JABOI
POOL.ELAS.6596.6.S111.L001	SB_02_2	JABOI	B	ACEH	5.816783333	95.345517	Sample	Sample	JABOI
POOL.ELAS.6596.7.S112.L001	SB_02_3	JABOI	C	ACEH	5.816783333	95.345517	Sample	Sample	JABOI
bio_12S_SB.02.1.S68.L001	SB_02_1	JABOI	A	ACEH	5.816783333	95.345517	Sample	Sample	JABOI
bio_12S_SB.02.2.S69.L001	SB_02_2	JABOI	B	ACEH	5.816783333	95.345517	Sample	Sample	JABOI
bio_12S_SB.02.3.S70.L001	SB_02_3	JABOI	C	ACEH	5.816783333	95.345517	Sample	Sample	JABOI
KS.S01.1.S42.L001	KS_S01_1	KABUI_STRAIT_I	A	RAJA_AMPAT	-0.4194	130.570067	Sample	Sample	KABUI_STRAIT
KS.S01.2.S43.L001	KS_S01_2	KABUI_STRAIT_I	B	RAJA_AMPAT	-0.4194	130.570067	Sample	Sample	KABUI_STRAIT
KS.S01.3.S44.L001	KS_S01_3	KABUI_STRAIT_I	C	RAJA_AMPAT	-0.4194	130.570067	Sample	Sample	KABUI_STRAIT
POOL.ELAS.3364.10.S91.L001	KS_S01_1	KABUI_STRAIT_I	A	RAJA_AMPAT	-0.4194	130.570067	Sample	Sample	KABUI_STRAIT
POOL.ELAS.3364.11.S92.L001	KS_S01_2	KABUI_STRAIT_I	B	RAJA_AMPAT	-0.4194	130.570067	Sample	Sample	KABUI_STRAIT
POOL.ELAS.3364.12.S93.L001	KS_S01_3	KABUI_STRAIT_I	C	RAJA_AMPAT	-0.4194	130.570067	Sample	Sample	KABUI_STRAIT
bio_12S_KPP.3.S41.L001	KS_S01_1	KABUI_STRAIT_I	A	RAJA_AMPAT	-0.4194	130.570067	Sample	Sample	KABUI_STRAIT
bio_12S_KS.S01.1.S42.L001	KS_S01_2	KABUI_STRAIT_I	B	RAJA_AMPAT	-0.4194	130.570067	Sample	Sample	KABUI_STRAIT
bio_12S_KS.S01.2.S43.L001	KS_S01_3	KABUI_STRAIT_I	C	RAJA_AMPAT	-0.4194	130.570067	Sample	Sample	KABUI_STRAIT
KS.S02.1.S45.L001	KS_S02_1	KABUI_STRAIT_II	A	RAJA_AMPAT	-0.432166667	130.551783	Sample	Sample	KABUI_STRAIT
KS.S02.2.S46.L001	KS_S02_2	KABUI_STRAIT_II	B	RAJA_AMPAT	-0.432166667	130.551783	Sample	Sample	KABUI_STRAIT
KS.S02.3.S47.L001	KS_S02_3	KABUI_STRAIT_II	C	RAJA_AMPAT	-0.432166667	130.551783	Sample	Sample	KABUI_STRAIT
POOL.ELAS.3364.13.S94.L001	KS_S02_1	KABUI_STRAIT_II	A	RAJA_AMPAT	-0.432166667	130.551783	Sample	Sample	KABUI_STRAIT
POOL.ELAS.3364.14.S95.L001	KS_S02_2	KABUI_STRAIT_II	B	RAJA_AMPAT	-0.432166667	130.551783	Sample	Sample	KABUI_STRAIT
POOL.ELAS.3364.15.S96.L001	KS_S02_3	KABUI_STRAIT_II	C	RAJA_AMPAT	-0.432166667	130.551783	Sample	Sample	KABUI_STRAIT
bio_12S_KS.S01.3.S44.L001	KS_S02_1	KABUI_STRAIT_II	A	RAJA_AMPAT	-0.432166667	130.551783	Sample	Sample	KABUI_STRAIT
bio_12S_KS.S02.1.S45.L001	KS_S02_2	KABUI_STRAIT_II	B	RAJA_AMPAT	-0.432166667	130.551783	Sample	Sample	KABUI_STRAIT
bio_12S_KS.S02.2.S46.L001	KS_S02_3	KABUI_STRAIT_II	C	RAJA_AMPAT	-0.432166667	130.551783	Sample	Sample	KABUI_STRAIT
KS.S03.1.S48.L001	KS_S03_1	KABUI_STRAIT_III	A	RAJA_AMPAT	-0.399533333	130.60445	Sample	Sample	KABUI_STRAIT
KS.S03.2.S49.L001	KS_S03_2	KABUI_STRAIT_III	B	RAJA_AMPAT	-0.399533333	130.60445	Sample	Sample	KABUI_STRAIT
KS.S03.3.S50.L001	KS_S03_3	KABUI_STRAIT_III	C	RAJA_AMPAT	-0.399533333	130.60445	Sample	Sample	KABUI_STRAIT
POOL.ELAS.3364.16.S97.L001	KS_S03_1	KABUI_STRAIT_III	A	RAJA_AMPAT	-0.399533333	130.60445	Sample	Sample	KABUI_STRAIT
POOL.ELAS.3364.17.S98.L001	KS_S03_2	KABUI_STRAIT_III	B	RAJA_AMPAT	-0.399533333	130.60445	Sample	Sample	KABUI_STRAIT
POOL.ELAS.3364.18.S99.L001	KS_S03_3	KABUI_STRAIT_III	C	RAJA_AMPAT	-0.399533333	130.60445	Sample	Sample	KABUI_STRAIT
bio_12S_KS.S02.3.S47.L001	KS_S03_1	KABUI_STRAIT_III	A	RAJA_AMPAT	-0.399533333	130.60445	Sample	Sample	KABUI_STRAIT
bio_12S_KS.S03.2.S48.L001	KS_S03_2	KABUI_STRAIT_III	B	RAJA_AMPAT	-0.399533333	130.60445	Sample	Sample	KABUI_STRAIT
bio_12S_KS.S03.3.S49.L001	KS_S03_3	KABUI_STRAIT_III	C	RAJA_AMPAT	-0.399533333	130.60445	Sample	Sample	KABUI_STRAIT
KPP.1.S39.L001	KPP_1	KAMPUNG_PAUDEAN	A	LEMBEH_STRAIT	1.41575	125.1786	Sample	Sample	KAMPUNG_PAUDEAN
KPP.2.S40.L001	KPP_2	KAMPUNG_PAUDEAN	B	LEMBEH_STRAIT	1.41575	125.1786	Sample	Sample	KAMPUNG_PAUDEAN
KPP.3.S41.L001	KPP_3	KAMPUNG_PAUDEAN	C	LEMBEH_STRAIT	1.41575	125.1786	Sample	Sample	KAMPUNG_PAUDEAN
POOL.ELAS.3364.7.S88.L001	KPP_1	KAMPUNG_PAUDEAN	A	LEMBEH_STRAIT	1.41575	125.1786	Sample	Sample	KAMPUNG_PAUDEAN
POOL.ELAS.3364.8.S89.L001	KPP_2	KAMPUNG_PAUDEAN	B	LEMBEH_STRAIT	1.41575	125.1786	Sample	Sample	KAMPUNG_PAUDEAN
POOL.ELAS.3364.9.S90.L001	KPP_3	KAMPUNG_PAUDEAN	C	LEMBEH_STRAIT	1.41575	125.1786	Sample	Sample	KAMPUNG_PAUDEAN
bio_12S_KL.3.S38.L001	KPP_1	KAMPUNG_PAUDEAN	A	LEMBEH_STRAIT	1.41575	125.1786	Sample	Sample	KAMPUNG_PAUDEAN
bio_12S_KPP.1.S39.L001	KPP_2	KAMPUNG_PAUDEAN	B	LEMBEH_STRAIT	1.41575	125.1786	Sample	Sample	KAMPUNG_PAUDEAN
bio_12S_KPP.2.S40.L001	KPP_3	KAMPUNG_PAUDEAN	C	LEMBEH_STRAIT	1.41575	125.1786	Sample	Sample	KAMPUNG_PAUDEAN
KL.1.S36.L001	KL_1	KRI_LAGOON	A	RAJA_AMPAT	-0.5559	130.687533	Sample	Sample	KRI_LAGOON
KL.2.S37.L001	KL_2	KRI_LAGOON	B	RAJA_AMPAT	-0.5559	130.687533	Sample	Sample	KRI_LAGOON
KL.3.S38.L001	KL_3	KRI_LAGOON	C	RAJA_AMPAT	-0.5559	130.687533	Sample	Sample	KRI_LAGOON
POOL.ELAS.3364.4.S85.L001	KL_1	KRI_LAGOON	A	RAJA_AMPAT	-0.5559	130.687533	Sample	Sample	KRI_LAGOON
POOL.ELAS.3364.5.S86.L001	KL_2	KRI_LAGOON	B	RAJA_AMPAT	-0.5559	130.687533	Sample	Sample	KRI_LAGOON
POOL.ELAS.3364.6.S87.L001	KL_3	KRI_LAGOON	C	RAJA_AMPAT	-0.5559	130.687533	Sample	Sample	KRI_LAGOON
bio_12S_INDO.pos.ctrl.S124.L001	KL_1	KRI_LAGOON	A	RAJA_AMPAT	-0.5559	130.687533	Sample	Sample	KRI_LAGOON
bio_12S_KL.1.S36.L001	KL_2	KRI_LAGOON	B	RAJA_AMPAT	-0.5559	130.687533	Sample	Sample	KRI_LAGOON
bio_12S_KL.2.S37.L001	KL_3	KRI_LAGOON	C	RAJA_AMPAT	-0.5559	130.687533	Sample	Sample	KRI_LAGOON
MG.1.S51.L001	MG_1	MELISSAS_GARDEN	A	RAJA_AMPAT	-0.589833333	130.31515	Sample	Sample	MELISSAS_GARDEN
MG.2.S52.L001	MG_2	MELISSAS_GARDEN	B	RAJA_AMPAT	-0.589833333	130.31515	Sample	Sample	MELISSAS_GARDEN
MG.3.S53.L001	MG_3	MELISSAS_GARDEN	C	RAJA_AMPAT	-0.589833333	130.31515	Sample	Sample	MELISSAS_GARDEN
POOL.ELAS.3364.19.S100.L001	MG_1	MELISSAS_GARDEN	A	RAJA_AMPAT	-0.589833333	130.31515	Sample	Sample	MELISSAS_GARDEN
POOL.ELAS.3364.20.S101.L001	MG_2	MELISSAS_GARDEN	B	RAJA_AMPAT	-0.589833333	130.31515	Sample	Sample	MELISSAS_GARDEN
POOL.ELAS.3364.21.S102.L001	MG_3	MELISSAS_GARDEN	C	RAJA_AMPAT	-0.589833333	130.31515	Sample	Sample	MELISSAS_GARDEN
bio_12S_MG.1.S50.L001	MG_1	MELISSAS_GARDEN	A	RAJA_AMPAT	-0.589833333	130.31515	Sample	Sample	MELISSAS_GARDEN
bio_12S_MG.2.S51.L001	MG_2	MELISSAS_GARDEN	B	RAJA_AMPAT	-0.589833333	130.31515	Sample	Sample	MELISSAS_GARDEN
bio_12S_MG.3.S52.L001	MG_3	MELISSAS_GARDEN	C	RAJA_AMPAT	-0.589833333	130.31515	Sample	Sample	MELISSAS_GARDEN
BLANK.DR.S10.L001	BLANK_DR	NA	NA	NA	NA	NA	Control	Blank	NA
BLANK.LS.S11.L001	BLANK_LS	NA	NA	NA	NA	NA	Control	Blank	NA
BLANK.RA.S12.L001	BLANK_RA	NA	NA	NA	NA	NA	Control	Blank	NA
BLANK.SB.S13.L001	BLANK_SB	NA	NA	NA	NA	NA	Control	Blank	NA
INDO.0132.neg.S126.L001	INDO_0132_neg	NA	NA	NA	NA	NA	Control	Blank	NA
INDO.3364.neg.S127.L001	INDO_3364_neg	NA	NA	NA	NA	NA	Control	Blank	NA
INDO.6596.neg.S128.L001	INDO_6596_neg	NA	NA	NA	NA	NA	Control	Blank	NA
INDO.pos.ctrl.S125.L001	INDO_pos_ctrl	NA	NA	NA	NA	NA	Control	Pos	NA
INDO.97123.neg.S124.L001	INDO_97123_neg	NA	NA	NA	NA	NA	Control	Blank	NA
POOL.ELAS.0132.10.S63.L001	BLANK_DR	NA	NA	NA	NA	NA	Control	Blank	NA
POOL.ELAS.0132.11.S64.L001	BLANK_LS	NA	NA	NA	NA	NA	Control	Blank	NA
POOL.ELAS.0132.12.S65.L001	BLANK_RA	NA	NA	NA	NA	NA	Control	Blank	NA
POOL.ELAS.0132.13.S66.L001	BLANK_SB	NA	NA	NA	NA	NA	Control	Blank	NA
SB.Set.1.04.S4.L001	SB_4	NA	NA	NA	NA	NA	Control	Blank	NA
SB.Set.1.11.S11.L001	SB_11	NA	NA	NA	NA	NA	Control	Blank	NA
SB.Set.1.16.S16.L001	SB_16	NA	NA	NA	NA	NA	Control	Blank	NA
SB.Set.2.03.S19.L001	SB_19	NA	NA	NA	NA	NA	Control	Blank	NA
SB.Set.2.35.S51.L001	SB_51	NA	NA	NA	NA	NA	Control	Blank	NA
SB.Set.2.37.S53.L001	SB_53	NA	NA	NA	NA	NA	Control	Pos	NA
bio_12S_BLANK.DR.S10.L001	BLANK_DR	NA	NA	NA	NA	NA	Control	Blank	NA
bio_12S_BLANK.LS.S11.L001	BLANK_LS	NA	NA	NA	NA	NA	Control	Blank	NA
bio_12S_BLANK.RA.S12.L001	BLANK_RA	NA	NA	NA	NA	NA	Control	Blank	NA
bio_12S_BLANK.SB.S13.L001	BLANK_SB	NA	NA	NA	NA	NA	Control	Blank	NA
bio_12S_INDO.0132.neg.S125.L001	INDO_0132_neg	NA	NA	NA	NA	NA	Control	Blank	NA
bio_12S_INDO.3364.neg.S126.L001	INDO_3364_neg	NA	NA	NA	NA	NA	Control	Blank	NA
bio_12S_INDO.6596.neg.S127.L001	INDO_6596_neg	NA	NA	NA	NA	NA	Control	Blank	NA
bio_12S_INDO.97123.neg.S123.L001	INDO_pos_ctrl	NA	NA	NA	NA	NA	Control	Pos	NA
SB.Set.1.15.S15.L001	SB_15	NA	NA	NA	NA	NA	Control	Pos	NA
SB.Set.2.36.S52.L001	SB_52	NA	NA	NA	NA	NA	Control	Pos	NA
PL.1.S54.L001	PL_1	PANTAI_LABUHAN	A	LEMBEH_STRAIT	1.460233333	125.239133	Sample	Sample	PANTAI_LABUHAN
PL.2.S55.L001	PL_2	PANTAI_LABUHAN	B	LEMBEH_STRAIT	1.460233333	125.239133	Sample	Sample	PANTAI_LABUHAN
PL.3.S56.L001	PL_3	PANTAI_LABUHAN	C	LEMBEH_STRAIT	1.460233333	125.239133	Sample	Sample	PANTAI_LABUHAN
POOL.ELAS.3364.22.S103.L001	PL_1	PANTAI_LABUHAN	A	LEMBEH_STRAIT	1.460233333	125.239133	Sample	Sample	PANTAI_LABUHAN
